534978.591145	6263609.210460
535218.057580	6263677.009596
535229.388499	6263651.951760
535240.050376	6263627.276782
535240.223539	6263626.666906
535230.493443	6263619.358394
535197.658491	6263585.515283
535196.438106	6263575.307360
535206.019777	6263558.990682
535218.256610	6263554.091679
535226.213849	6263555.931304
535233.758797	6263561.030267
535239.060875	6263566.129229
535251.297708	6263577.766860
535256.764702	6263581.976003
535259.510569	6263580.856231
535290.663368	6263510.760499
535289.847030	6263500.962493
535293.120630	6263494.233863
535296.377738	6263486.905354
535303.716540	6263482.416268
535399.186925	6263269.649576
535468.427280	6263110.242023
535447.120018	6263108.562365
535411.679379	6263106.302825
535362.649589	6263101.623777
535295.017174	6263097.054707
535279.168661	6263096.724775
535240.808994	6263100.853934
535153.180406	6263112.081649
535136.746439	6263114.631130
535004.326425	6263135.236936
534978.962208	6263138.176337
534949.681215	6263139.516065
534946.201469	6263140.375890
534944.964592	6263141.335694
534940.239723	6263209.271866
534921.521657	6263387.345620
534914.372510	6263456.691504
534910.975222	6263493.643983
534909.276578	6263519.038814
534903.108686	6263586.225138
534970.642151	6263607.670773
534974.781565	6263608.850533
534974.765073	6263608.980506
534975.820541	6263609.320437
534978.591145	6263609.210460
NaN	NaN
535046.330756	6263266.610195
535049.150835	6263263.440840
535055.780494	6263263.670793
535056.901928	6263263.620803
535062.236990	6263262.341064
535075.339636	6263264.030720
535075.793158	6263264.360653
535080.790139	6263264.530618
535083.239155	6263267.150085
535083.428810	6263267.200075
535092.730122	6263276.328217
535096.886027	6263279.237625
535108.050901	6263291.185193
535108.471439	6263291.785071
535116.272007	6263299.433514
535121.400923	6263308.031764
535121.409168	6263308.041762
535126.620542	6263313.630624
535126.620542	6263349.633296
535121.285481	6263359.771232
535118.506631	6263370.009148
535115.991649	6263369.819187
535115.703044	6263370.369075
535106.418223	6263369.119329
535106.376994	6263369.109331
535106.344011	6263369.109331
535096.490227	6263368.379480
535077.722685	6263366.339895
535060.389921	6263364.910186
535049.159081	6263356.751847
535048.425200	6263355.322138
535048.054137	6263355.092185
535047.089374	6263352.732665
535047.081128	6263352.712669
535038.150878	6263335.336206
535031.867545	6263315.430258
535031.859299	6263315.410262
535026.235633	6263301.623068
535030.201885	6263293.694682
535032.246854	6263284.306593
535034.869032	6263280.727321
535040.797795	6263270.669369
535046.330756	6263266.610195
NaN	NaN
